#BJD_TDB	rel_flux_T1_n	rel_flux_err_T1_n	rel_flux_T76_n	rel_flux_err_T76_n	AIRMASS	Sky/Pixel_T1	Width_T1	tot_C_cnts	X(FITS)_T1	Y(FITS)_T1
2458242.770413	0.998885	0.001119	1.006564	0.003890	1.714060	1007.411750	15.277497	24879357.341753	1761.945047	2171.756588
2458242.771713	0.999920	0.001119	1.004505	0.003890	1.704352	1019.448875	15.666869	24810968.550826	1761.808933	2171.334084
2458242.773013	0.999275	0.001119	1.011598	0.003966	1.694892	1029.093172	15.638403	24834312.257253	1762.545957	2171.100294
2458242.774314	0.995494	0.001119	1.004200	0.003966	1.685665	1039.226912	15.224883	24931301.673374	1762.286121	2171.488140
2458242.775614	1.001463	0.001136	1.009386	0.003966	1.676677	1046.652239	15.267884	24912012.284977	1762.521315	2171.000392
2458242.776914	0.999954	0.001119	1.001836	0.003966	1.667922	1056.458313	15.037731	24990856.650039	1762.677040	2171.412569
2458242.778214	1.002124	0.001136	0.999624	0.003966	1.659387	1066.595315	14.420885	25066766.238631	1762.012744	2171.704620
2458242.779516	1.002328	0.001136	1.004276	0.003966	1.651061	1078.453837	14.453563	25098153.610301	1762.355557	2171.394198
2458242.780816	1.000225	0.001136	1.006412	0.003966	1.642961	1090.503130	14.752461	25052209.041816	1762.202085	2171.491903
2458242.782118	1.002345	0.001136	1.010683	0.003966	1.635061	1096.002508	14.711135	25091511.100691	1762.324379	2171.638383
2458242.783417	1.003718	0.001136	1.006564	0.004042	1.627380	1107.049164	14.625512	25081861.747174	1761.822431	2171.276495
2458242.784718	1.000513	0.001136	1.005954	0.004042	1.619896	1117.459893	14.464846	25133944.948828	1762.528125	2171.797502
2458242.786018	1.001531	0.001136	1.008013	0.004042	1.612609	1125.459731	14.522445	25129070.681663	1761.802745	2171.424810
2458242.787318	1.000445	0.001136	1.009844	0.004042	1.605517	1133.047036	14.720862	25138008.265650	1761.665133	2171.301284
2458242.788618	1.001056	0.001153	1.011522	0.004042	1.598616	1138.832842	15.016001	25114515.255892	1761.882361	2171.669012
2458242.789917	1.002735	0.001153	1.002217	0.004042	1.591901	1144.529945	14.486221	25177837.138951	1762.410580	2171.247269
2458242.791220	1.001683	0.001153	1.004429	0.004042	1.585356	1151.459703	14.356660	25177707.063243	1762.050794	2171.434867
2458242.792520	0.999445	0.001153	1.010530	0.004042	1.578999	1153.904738	14.762856	25191968.523573	1761.945064	2171.159210
2458242.793821	1.001836	0.001153	1.011217	0.004042	1.572819	1156.827246	14.757269	25177150.629317	1762.367757	2171.206539
2458242.795121	1.000802	0.001153	1.009691	0.004042	1.566811	1159.930020	14.718415	25261499.377749	1762.168023	2171.158687
2458242.796421	1.002497	0.001153	1.004886	0.004042	1.560976	1163.769212	14.871895	25264876.511456	1761.720180	2171.755389
2458242.797728	1.005414	0.001153	1.014267	0.004042	1.555278	1168.414241	14.437378	25328146.850800	1762.005008	2171.566019
2458242.799028	1.004583	0.001153	1.005497	0.004042	1.549773	1172.760690	13.857414	25410441.433777	1762.170839	2171.495372
2458242.800329	1.002243	0.001153	1.005573	0.004042	1.544429	1175.475904	14.364489	25371355.920591	1761.739295	2171.183699
2458242.801629	1.003040	0.001153	1.011750	0.004042	1.539245	1180.417497	14.514025	25362937.197438	1762.107836	2171.190813
2458242.802929	0.999937	0.001153	0.997489	0.004042	1.534218	1187.357782	14.386047	25406614.196794	1761.901455	2171.414699
2458242.804231	1.002904	0.001153	1.010835	0.004118	1.529340	1191.958302	14.627920	25349537.486006	1761.408773	2170.996617
2458242.805532	0.998919	0.001153	1.002217	0.004118	1.524617	1195.996117	14.449302	25413870.495921	1762.303440	2171.239387
2458242.806833	1.004651	0.001153	1.005344	0.004118	1.520043	1198.601039	14.579801	25439653.790597	1762.275400	2170.977984
2458242.808133	1.003989	0.001153	1.010378	0.004118	1.515617	1201.597918	14.621904	25433572.222051	1761.816144	2171.030643
2458242.809434	1.001666	0.001153	1.009691	0.004118	1.511339	1207.012696	14.630965	25441168.193959	1761.788258	2171.354361
2458242.810734	1.004091	0.001153	0.994285	0.004118	1.507204	1209.136430	14.858798	25398879.693368	1762.067029	2170.983634
2458242.812033	1.001073	0.001153	1.009615	0.004118	1.503214	1212.455525	15.062622	25392842.534388	1761.724693	2171.286162
2458242.813339	1.001005	0.001153	1.004353	0.004118	1.499343	1211.280824	15.603109	25336803.256468	1762.402096	2170.843530
2458242.814641	1.003701	0.001153	1.009691	0.004118	1.495627	1207.597933	15.125423	25441863.482647	1761.990035	2171.250942
2458242.815941	0.999954	0.001153	1.013810	0.004118	1.492048	1210.089461	14.852813	25478912.283624	1761.909834	2171.163781
2458242.817242	1.005397	0.001153	1.013886	0.004118	1.488604	1217.273083	14.673303	25480732.317530	1761.945228	2170.795560
2458242.818542	1.001090	0.001153	1.009615	0.004118	1.485295	1215.652026	15.027044	25496265.976622	1762.055791	2170.952410
2458242.819847	1.002497	0.001153	1.006107	0.004118	1.482106	1215.412445	14.585483	25536283.326453	1761.927438	2171.185297
2458242.821147	0.999072	0.001153	1.005573	0.004118	1.479060	1218.868594	14.266700	25594838.649772	1761.840921	2170.815336
2458242.822447	1.001361	0.001153	1.003437	0.004118	1.476143	1223.376604	13.860237	25640242.370882	1762.161817	2170.659981
2458242.823747	1.004227	0.001153	1.012132	0.004118	1.473355	1228.600678	13.916743	25633010.253883	1762.097377	2170.899657
2458242.825048	1.001904	0.001153	1.007479	0.004118	1.470692	1230.494032	14.366424	25552384.296982	1761.811718	2170.936766
2458242.826348	1.006194	0.001153	1.010683	0.004118	1.468156	1227.527304	13.985821	25615034.542548	1762.050380	2171.086158
2458242.827648	1.002887	0.001153	1.010301	0.004118	1.465744	1229.993876	14.003698	25604821.418652	1762.245491	2170.477104
2458242.828949	1.003125	0.001153	1.009310	0.004118	1.463455	1229.586957	14.142714	25627522.219699	1762.065339	2170.709586
2458242.830254	1.002412	0.001153	1.008013	0.004118	1.461280	1229.990256	14.316448	25573718.446282	1762.319658	2170.667476
2458242.831554	1.003684	0.001153	1.007861	0.004118	1.459237	1221.415158	14.230964	25660915.234346	1762.403037	2171.065587
2458242.832854	1.003548	0.001153	0.996573	0.004118	1.457315	1219.496447	14.467572	25626206.876010	1762.052823	2170.279486
2458242.834154	1.001514	0.001153	1.002827	0.004118	1.455513	1220.880703	14.639163	25574480.220809	1762.331813	2170.643267
2458242.835454	1.003413	0.001153	1.007098	0.004118	1.453829	1218.452975	14.301898	25638742.630658	1762.039378	2170.981380
2458242.836755	1.003209	0.001153	1.008318	0.004118	1.452264	1218.948737	14.309080	25647125.011343	1762.019166	2170.740866
2458242.838054	1.003158	0.001153	0.988642	0.004042	1.450817	1217.463996	13.995549	25694521.040550	1761.913811	2170.868146
2458242.839355	1.004820	0.001153	0.996573	0.004118	1.449488	1218.067584	14.163087	25700151.063847	1762.355623	2170.765498
