GJD-2450000 flux err airmass sky dx dy fwhm peak baserun
8539.968872 1.032902 0.003345 1.1821 1158.8 1.087 0.440 5.18 23763.0 MSCT0_1902250177
8539.969242 1.020733 0.003646 1.1807 1202.3 2.406 -0.148 5.33 22246.0 MSCT0_1902250178
8539.969601 1.015343 0.003424 1.1796 1165.8 2.691 -0.261 5.42 24206.0 MSCT0_1902250179
8539.969971 1.013407 0.002967 1.1782 1074.0 2.441 0.733 6.15 23554.0 MSCT0_1902250180
8539.970341 1.008936 0.002976 1.1768 1078.6 -0.586 0.598 5.75 25706.0 MSCT0_1902250181
8539.970700 1.000157 0.003905 1.1757 1202.3 -1.215 0.308 5.64 20664.0 MSCT0_1902250182
8539.971071 1.005998 0.003217 1.1744 1104.6 -0.054 -0.498 5.56 25679.0 MSCT0_1902250183
8539.971441 1.008620 0.003016 1.1730 1059.9 0.604 0.179 5.33 29147.0 MSCT0_1902250184
8539.971800 1.010098 0.002822 1.1717 1020.2 0.742 0.498 5.31 30058.0 MSCT0_1902250185
8539.972170 1.010948 0.002794 1.1706 1017.0 0.848 0.790 5.25 32580.0 MSCT0_1902250186
8539.972541 1.007301 0.002806 1.1692 1006.9 1.555 -0.191 5.36 29783.0 MSCT0_1902250187
8539.972899 1.012017 0.002784 1.1679 987.7 -0.370 0.296 5.31 31579.0 MSCT0_1902250188
8539.973270 1.009859 0.002715 1.1668 971.6 -0.159 0.683 4.81 36898.0 MSCT0_1902250189
8539.973640 1.007070 0.002709 1.1655 965.1 -0.055 -0.018 4.77 36725.0 MSCT0_1902250190
8539.973999 1.008174 0.002663 1.1642 951.0 0.919 0.202 4.71 38989.0 MSCT0_1902250191
8539.974369 1.006478 0.002639 1.1631 943.6 1.599 0.063 4.69 40905.0 MSCT0_1902250192
8539.974740 1.005173 0.002651 1.1619 940.6 2.013 -0.454 5.06 39581.0 MSCT0_1902250193
8539.975098 1.005632 0.002642 1.1606 939.7 2.187 -0.068 4.87 38078.0 MSCT0_1902250194
8539.975469 1.006372 0.002645 1.1596 937.1 1.640 0.465 4.44 43014.0 MSCT0_1902250195
8539.975839 1.006925 0.002668 1.1583 936.2 1.736 0.246 4.88 38009.0 MSCT0_1902250196
8539.976198 1.006088 0.002672 1.1570 936.6 2.033 0.836 4.83 34245.0 MSCT0_1902250197
8539.976568 1.006329 0.002722 1.1560 948.2 0.141 1.031 5.57 31654.0 MSCT0_1902250198
8539.976939 1.001852 0.002796 1.1548 967.7 0.355 0.410 5.79 27299.0 MSCT0_1902250199
8539.977297 1.002128 0.002972 1.1536 1014.7 0.999 -0.304 5.17 28813.0 MSCT0_1902250200
8539.977668 0.998104 0.003096 1.1526 1048.1 1.212 0.185 5.02 26602.0 MSCT0_1902250201
8539.978038 1.001819 0.003214 1.1514 1069.7 -0.068 -1.638 5.34 23304.0 MSCT0_1902250202
8539.978397 0.993422 0.003365 1.1502 1093.1 0.329 0.174 5.71 23008.0 MSCT0_1902250203
8539.978767 0.996972 0.003272 1.1490 1085.2 1.440 0.531 5.86 21070.0 MSCT0_1902250204
8539.979138 1.000017 0.003071 1.1480 1058.1 1.788 0.977 6.08 20551.0 MSCT0_1902250205
8539.979497 1.003801 0.002878 1.1468 1021.5 0.520 -0.944 5.58 28211.0 MSCT0_1902250206
8539.979867 0.998415 0.002853 1.1457 1018.8 -0.722 -0.348 5.64 27863.0 MSCT0_1902250207
8539.980237 0.999497 0.002804 1.1447 1011.5 0.209 0.465 5.51 27698.0 MSCT0_1902250208
8539.980596 1.001610 0.002829 1.1435 1010.3 2.061 1.280 6.19 23752.0 MSCT0_1902250209
