# GJD-2450000 flux err airmass sky dx dy baserun
8207.984010 0.947113 0.012586 1.0545 996.0 -3.102 1.640 MSCT2_1803300142
8207.984624 0.934818 0.014134 1.0549 1125.4 -0.994 -1.343 MSCT2_1803300143
8207.985237 0.959797 0.016969 1.0554 1288.4 -1.458 -0.204 MSCT2_1803300144
8207.985851 0.952129 0.013795 1.0558 1076.7 -1.104 -0.391 MSCT2_1803300145
8207.986464 0.958265 0.014109 1.0563 1127.3 -2.473 -0.233 MSCT2_1803300146
8207.987078 0.931483 0.012696 1.0568 1036.1 -0.958 1.230 MSCT2_1803300147
8207.987691 0.938243 0.013031 1.0573 1053.2 -1.429 0.783 MSCT2_1803300148
8207.988281 0.965853 0.013060 1.0578 1059.8 -2.521 0.913 MSCT2_1803300149
8207.988895 0.961374 0.012492 1.0583 986.9 -3.159 1.268 MSCT2_1803300150
8207.989497 0.964437 0.012424 1.0588 978.7 -1.598 -0.440 MSCT2_1803300151
8207.990110 0.969362 0.012511 1.0594 977.9 -1.451 0.069 MSCT2_1803300152
8207.990712 0.987975 0.012630 1.0599 973.7 -2.966 1.369 MSCT2_1803300153
8207.991314 0.968922 0.012313 1.0605 973.9 -4.338 1.346 MSCT2_1803300154
8207.991939 0.973484 0.012373 1.0612 977.0 -1.115 0.004 MSCT2_1803300155
8207.992552 0.994757 0.012669 1.0617 981.0 -1.552 0.065 MSCT2_1803300156
8207.993166 0.971906 0.012400 1.0624 982.1 -2.537 0.004 MSCT2_1803300157
8207.993779 0.988591 0.012421 1.0630 983.2 -3.474 0.428 MSCT2_1803300158
8207.994392 0.981881 0.012570 1.0636 984.6 -1.119 0.670 MSCT2_1803300159
8207.995006 0.994840 0.012540 1.0643 984.5 -1.570 0.484 MSCT2_1803300160
8207.995619 0.973665 0.012379 1.0650 987.0 -2.148 0.395 MSCT2_1803300161
8207.996244 1.007880 0.012636 1.0657 987.8 -3.247 0.844 MSCT2_1803300162
8207.996858 1.015200 0.012826 1.0664 991.1 -0.957 0.712 MSCT2_1803300163
8207.997471 0.991259 0.012836 1.0671 990.4 -1.488 -0.163 MSCT2_1803300164
8207.998084 0.989491 0.012685 1.0679 989.4 -2.066 1.179 MSCT2_1803300165
8207.998698 0.986519 0.012578 1.0686 988.2 -3.051 2.154 MSCT2_1803300166
8207.999323 0.990613 0.012660 1.0694 985.9 -1.247 -0.001 MSCT2_1803300167
8207.999925 0.991732 0.012729 1.0701 986.0 -1.495 0.147 MSCT2_1803300168
8208.000538 0.992736 0.012757 1.0709 985.8 -3.010 0.185 MSCT2_1803300169
8208.001152 0.989777 0.012581 1.0717 986.4 -2.438 1.413 MSCT2_1803300170
8208.001753 0.996342 0.012627 1.0725 986.8 -3.260 -0.261 MSCT2_1803300171
8208.002367 1.013173 0.012774 1.0734 985.9 -4.284 0.361 MSCT2_1803300172
8208.002969 1.009633 0.012931 1.0742 988.6 -0.927 0.684 MSCT2_1803300173
8208.003582 1.016932 0.013367 1.0751 1077.6 -2.859 0.753 MSCT2_1803300174
8208.004196 1.006685 0.012896 1.0760 1001.9 -1.163 0.017 MSCT2_1803300175
8208.004809 0.984844 0.012619 1.0768 984.5 -1.437 0.915 MSCT2_1803300176
8208.005422 1.037394 0.012873 1.0777 979.9 -2.739 0.032 MSCT2_1803300177
8208.006036 1.011165 0.012932 1.0787 980.0 -3.249 1.108 MSCT2_1803300178
8208.006661 0.989278 0.012675 1.0796 980.7 -0.622 0.263 MSCT2_1803300179
8208.007274 1.012114 0.012830 1.0806 979.6 -1.911 0.632 MSCT2_1803300180
8208.007888 1.000056 0.012887 1.0815 981.1 -2.583 0.640 MSCT2_1803300181
8208.008501 1.023700 0.012918 1.0825 978.9 -3.788 0.130 MSCT2_1803300182
8208.009115 0.974586 0.012582 1.0836 977.4 -0.494 0.326 MSCT2_1803300183
8208.009728 0.990844 0.012739 1.0846 976.4 -1.834 1.518 MSCT2_1803300184
8208.010341 1.001306 0.012729 1.0856 976.5 -1.905 -1.125 MSCT2_1803300185
8208.010966 1.008036 0.012727 1.0866 974.5 -2.995 0.493 MSCT2_1803300186
8208.011580 0.981556 0.012518 1.0877 976.0 -0.731 -0.336 MSCT2_1803300187
8208.012205 0.994291 0.012682 1.0888 976.4 -1.547 -0.073 MSCT2_1803300188
8208.012818 0.991669 0.012449 1.0899 975.6 -2.328 0.403 MSCT2_1803300189
8208.013432 0.994431 0.012771 1.0910 977.6 -3.312 0.356 MSCT2_1803300190
8208.014045 0.990545 0.012997 1.0920 1022.7 -0.585 0.164 MSCT2_1803300191
8208.014670 1.007738 0.012895 1.0933 1019.5 -1.226 0.411 MSCT2_1803300192
8208.015284 1.016580 0.012945 1.0944 981.4 -1.446 0.101 MSCT2_1803300193
8208.015885 1.022580 0.012921 1.0956 975.7 -2.841 0.774 MSCT2_1803300194
8208.016510 1.000000 0.012561 1.0967 975.3 -1.411 -0.798 MSCT2_1803300195
