# GJD-2450000 flux err airmass sky dx dy baserun
8207.938999 0.975999 0.034397 1.0583 3313.9 -7.687 -19.813 MSCT1_1803300061
8207.939416 0.951117 0.035121 1.0579 3319.1 -8.021 -20.520 MSCT1_1803300062
8207.939809 1.008645 0.034749 1.0576 3318.4 -7.641 -20.102 MSCT1_1803300063
8207.940214 1.057724 0.034654 1.0573 3324.0 -9.262 -19.759 MSCT1_1803300064
8207.940619 0.961415 0.034732 1.0569 3336.8 -10.107 -19.648 MSCT1_1803300065
8207.941024 1.049461 0.034889 1.0566 3329.4 -10.229 -18.720 MSCT1_1803300066
8207.941429 1.004812 0.034904 1.0563 3320.9 -11.571 -19.370 MSCT1_1803300067
8207.941823 0.994042 0.035347 1.0560 3308.6 -11.401 -19.707 MSCT1_1803300068
8207.942228 0.981777 0.034743 1.0557 3305.0 -11.646 -18.689 MSCT1_1803300069
8207.942633 0.989183 0.034576 1.0554 3313.3 -13.631 -19.215 MSCT1_1803300070
8207.943038 0.988586 0.035765 1.0551 3318.7 -13.922 -19.062 MSCT1_1803300071
8207.943443 0.955431 0.035520 1.0548 3320.1 -14.412 -20.517 MSCT1_1803300072
8207.943848 1.046840 0.035236 1.0545 3313.0 -15.684 -19.270 MSCT1_1803300073
8207.944265 0.942501 0.035174 1.0542 3305.5 -15.555 -19.210 MSCT1_1803300074
8207.944670 1.000637 0.035358 1.0539 3297.1 -15.436 -18.694 MSCT1_1803300075
8207.945075 1.052780 0.035068 1.0537 3294.5 -16.495 -18.678 MSCT1_1803300076
8207.945469 1.031713 0.035033 1.0534 3294.1 -17.303 -18.483 MSCT1_1803300077
8207.945874 1.007015 0.035566 1.0531 3309.8 -15.444 -19.866 MSCT1_1803300078
8207.946279 1.025597 0.035133 1.0529 3322.2 -11.826 -19.812 MSCT1_1803300079
8207.946672 0.992007 0.034842 1.0527 3326.6 -13.136 -19.916 MSCT1_1803300080
8207.947078 1.002901 0.035267 1.0524 3328.5 -12.007 -19.442 MSCT1_1803300081
8207.947471 0.974410 0.034764 1.0522 3334.3 -10.100 -19.957 MSCT1_1803300082
8207.947865 1.006370 0.035236 1.0520 3334.6 -10.294 -20.503 MSCT1_1803300083
8207.948270 1.007883 0.035150 1.0518 3338.3 -11.575 -20.555 MSCT1_1803300084
8207.948663 0.972834 0.034860 1.0515 3343.3 -12.560 -18.108 MSCT1_1803300085
8207.949068 0.937944 0.034846 1.0513 3345.2 -13.124 -17.448 MSCT1_1803300086
8207.949473 0.964758 0.035024 1.0511 3353.4 -12.745 -18.483 MSCT1_1803300087
8207.949867 1.002405 0.034846 1.0509 3358.6 -10.758 -19.169 MSCT1_1803300088
8207.950260 1.025582 0.034995 1.0507 3352.8 -11.017 -19.090 MSCT1_1803300089
8207.950666 0.966082 0.035535 1.0506 3360.2 -11.785 -20.093 MSCT1_1803300090
8207.951059 1.005335 0.035335 1.0504 3366.3 -12.631 -19.688 MSCT1_1803300091
8207.951464 0.973442 0.036693 1.0502 3446.0 -13.461 -20.495 MSCT1_1803300092
8207.951869 1.002817 0.037060 1.0500 3469.0 -14.293 -20.523 MSCT1_1803300093
8207.952251 0.995170 0.035787 1.0498 3399.4 -10.594 -20.160 MSCT1_1803300094
8207.952656 1.040893 0.034855 1.0497 3356.5 -11.893 -19.637 MSCT1_1803300095
8207.953061 0.982833 0.034997 1.0495 3356.1 -12.748 -19.612 MSCT1_1803300096
